date,close
2015-04-20,19634.49
2015-04-21,19909.09
2015-04-22,20133.9
2015-04-23,20187.65
2015-04-24,20020.04
2015-04-27,19983.32
2015-04-28,20058.95
2015-04-29,20058.95
2015-04-30,19520.01
2015-05-01,19531.63
2015-05-04,19531.63
2015-05-05,19531.63
2015-05-06,19531.63
2015-05-07,19291.99
2015-05-08,19379.19
2015-05-11,19620.91
2015-05-12,19624.84
2015-05-13,19764.72
2015-05-14,19570.24
2015-05-15,19732.92
2015-05-18,19890.27
2015-05-19,20026.38
2015-05-20,20196.56
2015-05-21,20202.87
2015-05-22,20264.41
2015-05-25,20413.77
2015-05-26,20437.48
2015-05-27,20472.58
2015-05-28,20551.46
2015-05-29,20563.15
2015-06-01,20569.87
2015-06-02,20543.19
2015-06-03,20473.51
2015-06-04,20488.19
2015-06-05,20460.9
2015-06-08,20457.19
2015-06-09,20096.3
2015-06-10,20046.36
2015-06-11,20382.97
2015-06-12,20407.08
2015-06-15,20387.79
2015-06-16,20257.94
2015-06-17,20219.27
2015-06-18,19990.82
2015-06-19,20174.24
2015-06-22,20428.19
2015-06-23,20809.42
2015-06-24,20868.03
2015-06-25,20771.4
2015-06-26,20706.15
2015-06-29,20109.95
2015-06-30,20235.73
2015-07-01,20329.32
2015-07-02,20522.5
2015-07-03,20539.79
2015-07-06,20112.12
2015-07-07,20376.59
2015-07-08,19737.64
2015-07-09,19855.5
2015-07-10,19779.83
2015-07-13,20089.77
2015-07-14,20385.33
2015-07-15,20463.33
2015-07-16,20600.12
2015-07-17,20650.92
2015-07-20,20650.92
2015-07-21,20841.97
2015-07-22,20593.67
2015-07-23,20683.95
2015-07-24,20544.53
2015-07-27,20350.1
2015-07-28,20328.89
2015-07-29,20302.91
2015-07-30,20522.83
2015-07-31,20585.24
2015-08-03,20548.11
2015-08-04,20520.36
2015-08-05,20614.06
2015-08-06,20664.44
2015-08-07,20724.56
2015-08-10,20808.69
2015-08-11,20720.75
2015-08-12,20392.77
2015-08-13,20595.55
2015-08-14,20519.45
2015-08-17,20620.26
2015-08-18,20554.47
2015-08-19,20222.63
2015-08-20,20033.52
2015-08-21,19435.83
2015-08-24,18540.68
2015-08-25,17806.7
2015-08-26,18376.83
2015-08-27,18574.44
2015-08-28,19136.32
2015-08-31,18890.48
2015-09-01,18165.69
2015-09-02,18095.4
2015-09-03,18182.39
2015-09-04,17792.16
2015-09-07,17860.47
2015-09-08,17427.08
2015-09-09,18770.51
2015-09-10,18299.62
2015-09-11,18264.22
2015-09-14,17965.7
2015-09-15,18026.48
2015-09-16,18171.6
2015-09-17,18432.27
2015-09-18,18070.21
2015-09-21,18070.21
2015-09-22,18070.21
2015-09-23,18070.21
2015-09-24,17571.83
2015-09-25,17880.51
2015-09-28,17645.11
2015-09-29,16930.84
2015-09-30,17388.15
2015-10-01,17722.42
2015-10-02,17725.13
2015-10-05,18005.49
2015-10-06,18186.1
2015-10-07,18322.98
2015-10-08,18141.17
2015-10-09,18438.67
2015-10-12,18438.67
2015-10-13,18234.74
2015-10-14,17891
2015-10-15,18096.9
2015-10-16,18291.8
2015-10-19,18131.23
2015-10-20,18207.15
2015-10-21,18554.28
2015-10-22,18435.87
2015-10-23,18825.3
2015-10-26,18947.12
2015-10-27,18777.04
2015-10-28,18903.02
2015-10-29,18935.71
2015-10-30,19083.1
2015-11-02,18683.24
2015-11-03,18683.24
2015-11-04,18926.91
2015-11-05,19116.41
2015-11-06,19265.6
2015-11-09,19642.74
2015-11-10,19671.26
2015-11-11,19691.39
2015-11-12,19697.77
2015-11-13,19596.91
2015-11-16,19393.69
2015-11-17,19630.63
2015-11-18,19649.18
2015-11-19,19859.81
2015-11-20,19879.81
2015-11-23,19879.81
2015-11-24,19924.89
2015-11-25,19847.58
2015-11-26,19944.41
2015-11-27,19883.94
2015-11-30,19747.47
2015-12-01,20012.4
2015-12-02,19938.13
2015-12-03,19939.9
2015-12-04,19504.48
2015-12-07,19698.15
2015-12-08,19492.6
2015-12-09,19301.07
2015-12-10,19046.55
2015-12-11,19230.48
2015-12-14,18883.42
2015-12-15,18565.9
2015-12-16,19049.91
2015-12-17,19353.56
2015-12-18,18986.8
2015-12-21,18916.02
2015-12-22,18886.7
2015-12-23,18886.7
2015-12-24,18789.69
2015-12-25,18769.06
2015-12-28,18873.35
2015-12-29,18982.23
2015-12-30,19033.71
2015-12-31,19033.71
2016-01-01,19033.71
2016-01-04,18450.98
2016-01-05,18374
2016-01-06,18191.32
2016-01-07,17767.34
2016-01-08,17697.96
2016-01-11,17697.96
2016-01-12,17218.96
2016-01-13,17715.63
2016-01-14,17240.95
2016-01-15,17147.11
2016-01-18,16955.57
2016-01-19,17048.37
2016-01-20,16416.19
2016-01-21,16017.26
2016-01-22,16958.53
2016-01-25,17110.91
2016-01-26,16708.9
2016-01-27,17163.92
2016-01-28,17041.45
2016-01-29,17518.3
2016-02-01,17865.23
2016-02-02,17750.68
2016-02-03,17191.25
2016-02-04,17044.99
2016-02-05,16819.59
2016-02-08,17004.3
2016-02-09,16085.44
2016-02-10,15713.39
2016-02-11,15713.39
2016-02-12,14952.61
2016-02-15,16022.58
2016-02-16,16054.43
2016-02-17,15836.36
2016-02-18,16196.8
2016-02-19,15967.17
2016-02-22,16111.05
2016-02-23,16052.05
2016-02-24,15915.79
2016-02-25,16140.34
2016-02-26,16188.41
2016-02-29,16026.76
2016-03-01,16085.51
2016-03-02,16746.55
2016-03-03,16960.16
2016-03-04,17014.78
2016-03-07,16911.32
2016-03-08,16783.15
2016-03-09,16642.2
2016-03-10,16852.35
2016-03-11,16938.87
2016-03-14,17233.75
2016-03-15,17117.07
2016-03-16,16974.45
2016-03-17,16936.38
2016-03-18,16724.81
2016-03-21,16724.81
2016-03-22,17048.55
2016-03-23,17000.98
2016-03-24,16892.33
2016-03-25,17002.75
2016-03-28,17134.37
2016-03-29,17103.53
2016-03-30,16878.96
2016-03-31,16758.67
2016-04-01,16164.16
2016-04-04,16123.27
2016-04-05,15732.82
2016-04-06,15715.36
2016-04-07,15749.84
2016-04-08,15821.52
2016-04-11,15751.13
2016-04-12,15928.79
2016-04-13,16381.22
2016-04-14,16911.05
2016-04-15,16848.03
2016-04-18,16275.95
2016-04-19,16874.44
2016-04-20,16906.54
2016-04-21,17363.62
2016-04-22,17572.49
2016-04-25,17439.3
2016-04-26,17353.28
2016-04-27,17290.49
2016-04-28,16666.05
2016-04-29,16666.05
2016-05-02,16147.38
2016-05-03,16147.38
2016-05-04,16147.38
2016-05-05,16147.38
2016-05-06,16106.72
2016-05-09,16216.03
2016-05-10,16565.19
2016-05-11,16579.01
2016-05-12,16646.34
2016-05-13,16412.21
2016-05-16,16466.4
2016-05-17,16652.8
2016-05-18,16644.69
2016-05-19,16646.66
2016-05-20,16736.35
2016-05-23,16654.6
2016-05-24,16498.76
2016-05-25,16757.35
2016-05-26,16772.46
2016-05-27,16834.84
2016-05-30,17068.02
2016-05-31,17234.98
2016-06-01,16955.73
2016-06-02,16562.55
2016-06-03,16642.23
2016-06-06,16580.03
2016-06-07,16675.45
2016-06-08,16830.92
2016-06-09,16668.41
2016-06-10,16601.36
2016-06-13,16019.18
2016-06-14,15859
2016-06-15,15919.58
2016-06-16,15434.14
2016-06-17,15599.66
2016-06-20,15965.3
2016-06-21,16169.11
2016-06-22,16065.72
2016-06-23,16238.35
2016-06-24,14952.02
2016-06-27,15309.21
2016-06-28,15323.14
2016-06-29,15566.83
2016-06-30,15575.92
2016-07-01,15682.48
2016-07-04,15775.8
2016-07-05,15669.33
2016-07-06,15378.99
2016-07-07,15276.24
2016-07-08,15106.98
2016-07-11,15708.82
2016-07-12,16095.65
2016-07-13,16231.43
2016-07-14,16385.89
2016-07-15,16497.85
2016-07-18,16497.85
2016-07-19,16723.31
2016-07-20,16681.89
2016-07-21,16810.22
2016-07-22,16627.25
2016-07-25,16620.29
2016-07-26,16383.04
2016-07-27,16664.82
2016-07-28,16476.84
2016-07-29,16569.27
2016-08-01,16635.77
2016-08-02,16391.45
2016-08-03,16083.11
2016-08-04,16254.89
2016-08-05,16254.45
2016-08-08,16650.57
2016-08-09,16764.97
2016-08-10,16735.12
2016-08-11,16735.12
2016-08-12,16919.92
2016-08-15,16869.56
2016-08-16,16596.51
2016-08-17,16745.64
2016-08-18,16486.01
2016-08-19,16545.82
2016-08-22,16598.19
2016-08-23,16497.36
2016-08-24,16597.3
2016-08-25,16555.95
2016-08-26,16360.71
2016-08-29,16737.49
2016-08-30,16725.36
2016-08-31,16887.4
2016-09-01,16926.84
2016-09-02,16925.68
2016-09-05,17037.63
2016-09-06,17081.98
2016-09-07,17012.44
2016-09-08,16958.77
2016-09-09,16965.76
2016-09-12,16672.92
2016-09-13,16729.04
2016-09-14,16614.24
2016-09-15,16405.01
2016-09-16,16519.29
2016-09-19,16519.29
2016-09-20,16492.15
2016-09-21,16807.62
2016-09-22,16807.62
2016-09-23,16754.02
2016-09-26,16544.56
2016-09-27,16683.93
2016-09-28,16465.4
2016-09-29,16693.71
2016-09-30,16449.84
2016-10-03,16598.67
2016-10-04,16735.65
2016-10-05,16819.24
2016-10-06,16899.1
2016-10-07,16860.09
2016-10-10,16860.09
2016-10-11,17024.76
2016-10-12,16840
2016-10-13,16774.24
2016-10-14,16856.37
2016-10-17,16900.12
2016-10-18,16963.61
2016-10-19,16998.91
2016-10-20,17235.5
2016-10-21,17184.59
2016-10-24,17234.42
2016-10-25,17365.25
2016-10-26,17391.84
2016-10-27,17336.42
2016-10-28,17446.41
2016-10-31,17425.02
2016-11-01,17442.4
2016-11-02,17134.68
2016-11-03,17134.68
2016-11-04,16905.36
2016-11-07,17177.21
2016-11-08,17171.38
2016-11-09,16251.54
2016-11-10,17344.42
2016-11-11,17374.79
2016-11-14,17672.62
2016-11-15,17668.15
2016-11-16,17862.21
2016-11-17,17862.63
2016-11-18,17967.41
2016-11-21,18106.02
2016-11-22,18162.94
2016-11-23,18162.94
2016-11-24,18333.41
2016-11-25,18381.22
2016-11-28,18356.89
2016-11-29,18307.04
2016-11-30,18308.48
2016-12-01,18513.12
2016-12-02,18426.08
2016-12-05,18274.99
2016-12-06,18360.54
2016-12-07,18496.69
2016-12-08,18765.47
2016-12-09,18996.37
2016-12-12,19155.03
2016-12-13,19250.52
2016-12-14,19253.61
2016-12-15,19273.79
2016-12-16,19401.15
2016-12-19,19391.6
2016-12-20,19494.53
2016-12-21,19444.49
2016-12-22,19427.67
2016-12-23,19427.67
2016-12-26,19396.64
2016-12-27,19403.06
2016-12-28,19401.72
2016-12-29,19145.14
2016-12-30,19114.37
2017-01-02,19114.37
2017-01-03,19114.37
2017-01-04,19594.16
2017-01-05,19520.69
2017-01-06,19454.33
2017-01-09,19454.33
2017-01-10,19301.44
2017-01-11,19364.67
2017-01-12,19134.7
2017-01-13,19287.28
2017-01-16,19095.24
2017-01-17,18813.53
2017-01-18,18894.37
2017-01-19,19072.25
2017-01-20,19137.91
2017-01-23,18891.03
2017-01-24,18787.99
2017-01-25,19057.5
2017-01-26,19402.39
2017-01-27,19467.4
2017-01-30,19368.85
2017-01-31,19041.34
2017-02-01,19148.08
2017-02-02,18914.58
2017-02-03,18918.2
2017-02-06,18976.71
2017-02-07,18910.78
2017-02-08,19007.6
2017-02-09,18907.67
2017-02-10,19378.93
2017-02-13,19459.15
2017-02-14,19238.98
2017-02-15,19437.98
2017-02-16,19347.53
2017-02-17,19234.62
2017-02-20,19251.08
2017-02-21,19381.44
2017-02-22,19379.87
2017-02-23,19371.46
2017-02-24,19283.54
2017-02-27,19107.47
2017-02-28,19118.99
2017-03-01,19393.54
2017-03-02,19564.8
2017-03-03,19469.17
2017-03-06,19379.14
2017-03-07,19344.15
2017-03-08,19254.03
2017-03-09,19318.58
2017-03-10,19604.61
2017-03-13,19633.75
2017-03-14,19609.5
2017-03-15,19577.38
2017-03-16,19590.14
2017-03-17,19521.59
2017-03-20,19521.59
2017-03-21,19455.88
2017-03-22,19041.38
2017-03-23,19085.31
2017-03-24,19262.53
2017-03-27,18985.59
2017-03-28,19202.87
2017-03-29,19217.48
2017-03-30,19063.22
2017-03-31,18909.26
2017-04-03,18983.23
2017-04-04,18810.25
2017-04-05,18861.27
2017-04-06,18597.06
2017-04-07,18664.63
2017-04-10,18797.88
2017-04-11,18747.87
2017-04-12,18552.61
2017-04-13,18426.84
2017-04-14,18335.63
2017-04-17,18355.26
2017-04-18,18418.59
2017-04-19,18432.2
2017-04-20,18430.49
2017-04-21,18620.75
2017-04-24,18875.88
2017-04-25,19079.33
2017-04-26,19289.43
2017-04-27,19251.87
2017-04-28,19196.74
2017-05-01,19310.52
2017-05-02,19445.7
2017-05-03,19445.7
2017-05-04,19445.7
2017-05-05,19445.7
2017-05-08,19895.7
2017-05-09,19843
2017-05-10,19900.09
2017-05-11,19961.55
2017-05-12,19883.9
2017-05-15,19869.85
2017-05-16,19919.82
2017-05-17,19814.88
2017-05-18,19553.86
2017-05-19,19590.76
2017-05-22,19678.28
2017-05-23,19613.28
2017-05-24,19742.98
2017-05-25,19813.13
2017-05-26,19686.84
2017-05-29,19682.57
2017-05-30,19677.85
2017-05-31,19650.57
2017-06-01,19860.03
2017-06-02,20177.28
2017-06-05,20170.82
2017-06-06,19979.9
2017-06-07,19984.62
2017-06-08,19909.26
2017-06-09,20013.26
2017-06-12,19908.58
2017-06-13,19898.75
2017-06-14,19883.52
2017-06-15,19831.82
2017-06-16,19943.26
2017-06-19,20067.75
2017-06-20,20230.41
2017-06-21,20138.79
2017-06-22,20110.51
2017-06-23,20132.67
2017-06-26,20153.35
2017-06-27,20225.09
2017-06-28,20130.41
2017-06-29,20220.3
2017-06-30,20033.43
2017-07-03,20055.8
2017-07-04,20032.35
2017-07-05,20081.63
2017-07-06,19994.06
2017-07-07,19929.09
2017-07-10,20080.98
2017-07-11,20195.48
2017-07-12,20098.38
2017-07-13,20099.81
2017-07-14,20118.86
2017-07-17,20118.86
2017-07-18,19999.91
2017-07-19,20020.86
2017-07-20,20144.59
2017-07-21,20099.75
2017-07-24,19975.67
2017-07-25,19955.2
2017-07-26,20050.16
2017-07-27,20079.64
2017-07-28,19959.84
2017-07-31,19925.18
2017-08-01,19985.79
2017-08-02,20080.04
2017-08-03,20029.26
2017-08-04,19952.33
2017-08-07,20055.89
2017-08-08,19996.01
2017-08-09,19738.71
2017-08-10,19729.74
2017-08-11,19729.74
2017-08-14,19537.1
2017-08-15,19753.31
2017-08-16,19729.28
2017-08-17,19702.63
2017-08-18,19470.41
2017-08-21,19393.13
2017-08-22,19383.84
2017-08-23,19434.64
2017-08-24,19353.77
2017-08-25,19452.61
2017-08-28,19449.9
2017-08-29,19362.55
2017-08-30,19506.54
2017-08-31,19646.24
2017-09-01,19691.47
2017-09-04,19508.25
2017-09-05,19385.81
2017-09-06,19357.97
2017-09-07,19396.52
2017-09-08,19274.82
2017-09-11,19545.77
2017-09-12,19776.62
2017-09-13,19865.82
2017-09-14,19807.44
2017-09-15,19909.5
2017-09-18,19909.5
2017-09-19,20299.38
2017-09-20,20310.46
2017-09-21,20347.48
2017-09-22,20296.45
2017-09-25,20397.58
2017-09-26,20330.19
2017-09-27,20267.05
2017-09-28,20363.11
2017-09-29,20356.28
2017-10-02,20400.78
2017-10-03,20614.07
2017-10-04,20626.66
2017-10-05,20628.56
2017-10-06,20690.71
2017-10-09,20690.71
2017-10-10,20823.51
2017-10-11,20881.27
2017-10-12,20954.72
2017-10-13,21155.18
2017-10-16,21255.56
2017-10-17,21336.12
2017-10-18,21363.05
2017-10-19,21448.52
2017-10-20,21457.64
2017-10-23,21696.65
2017-10-24,21805.17
2017-10-25,21707.62
2017-10-26,21739.78
2017-10-27,22008.45
2017-10-30,22011.67
2017-10-31,22011.61
2017-11-01,22420.08
2017-11-02,22539.12
2017-11-03,22539.12
2017-11-06,22548.35
2017-11-07,22937.6
2017-11-08,22913.82
2017-11-09,22868.71
2017-11-10,22681.42
2017-11-13,22380.99
2017-11-14,22380.01
2017-11-15,22028.32
2017-11-16,22351.12
2017-11-17,22396.8
2017-11-20,22261.76
2017-11-21,22416.48
2017-11-22,22523.15
2017-11-23,22523.15
2017-11-24,22550.85
2017-11-27,22495.99
2017-11-28,22486.24
2017-11-29,22597.2
2017-11-30,22724.96
2017-12-01,22819.03
2017-12-04,22707.16
2017-12-05,22622.38
2017-12-06,22177.04
2017-12-07,22498.03
2017-12-08,22811.08
2017-12-11,22938.73
2017-12-12,22866.17
2017-12-13,22758.07
2017-12-14,22694.45
2017-12-15,22553.22
2017-12-18,22901.77
2017-12-19,22868
2017-12-20,22891.72
2017-12-21,22866.1
2017-12-22,22902.76
2017-12-25,22939.18
2017-12-26,22892.69
2017-12-27,22911.21
2017-12-28,22783.98
2017-12-29,22764.94
2018-01-01,22764.94
2018-01-02,22764.94
2018-01-03,22764.94
2018-01-04,23506.33
2018-01-05,23714.53
2018-01-08,23714.53
2018-01-09,23849.99
2018-01-10,23788.2
2018-01-11,23710.43
2018-01-12,23653.82
2018-01-15,23714.88
2018-01-16,23951.81
2018-01-17,23868.34
2018-01-18,23763.37
2018-01-19,23808.06
2018-01-22,23816.33
2018-01-23,24124.15
2018-01-24,23940.78
2018-01-25,23669.49
2018-01-26,23631.88
2018-01-29,23629.34
2018-01-30,23291.97
2018-01-31,23098.29
2018-02-01,23486.11
2018-02-02,23274.53
2018-02-05,22682.08
2018-02-06,21610.24
2018-02-07,21645.37
2018-02-08,21890.86
2018-02-09,21382.62
2018-02-12,21382.62
2018-02-13,21244.68
2018-02-14,21154.17
2018-02-15,21464.98
2018-02-16,21720.25
2018-02-19,22149.21
2018-02-20,21925.1
2018-02-21,21970.81
2018-02-22,21736.44
2018-02-23,21892.78
2018-02-26,22153.63
2018-02-27,22389.86
2018-02-28,22068.24
2018-03-01,21724.47
2018-03-02,21181.64
2018-03-05,21042.09
2018-03-06,21417.76
2018-03-07,21252.72
2018-03-08,21368.07
2018-03-09,21469.2
2018-03-12,21824.03
2018-03-13,21968.1
2018-03-14,21777.29
2018-03-15,21803.95
2018-03-16,21676.51
2018-03-19,21480.9
2018-03-20,21380.97
2018-03-21,21380.97
2018-03-22,21591.99
2018-03-23,20617.86
2018-03-26,20766.1
2018-03-27,21317.32
2018-03-28,21031.31
2018-03-29,21159.08
2018-03-30,21454.3
2018-04-02,21388.58
2018-04-03,21292.29
2018-04-04,21319.55
2018-04-05,21645.42
2018-04-06,21567.52
2018-04-09,21678.26
2018-04-10,21794.32
2018-04-11,21687.1
2018-04-12,21660.28
2018-04-13,21778.74
2018-04-16,21835.53
2018-04-17,21847.59
2018-04-18,22158.2
2018-04-19,22191.18
2018-04-20,22162.24
2018-04-23,22088.04
2018-04-24,22278.12
2018-04-25,22215.32
2018-04-26,22319.61
2018-04-27,22467.87
2018-04-30,22467.87
2018-05-01,22508.03
2018-05-02,22472.78
2018-05-03,22472.78
2018-05-04,22472.78
2018-05-07,22467.16
2018-05-08,22508.69
2018-05-09,22408.88
2018-05-10,22497.18
2018-05-11,22758.48
2018-05-14,22865.86
2018-05-15,22818.02
2018-05-16,22717.23
2018-05-17,22838.37
2018-05-18,22930.36
2018-05-21,23002.37
2018-05-22,22960.34
2018-05-23,22689.74
2018-05-24,22437.01
2018-05-25,22450.79
2018-05-28,22481.09
2018-05-29,22358.43
2018-05-30,22018.52
2018-05-31,22201.82
2018-06-01,22171.35
2018-06-04,22475.94
2018-06-05,22539.54
2018-06-06,22625.73
2018-06-07,22823.26
2018-06-08,22694.5
2018-06-11,22804.04
2018-06-12,22878.35
2018-06-13,22966.38
2018-06-14,22738.61
2018-06-15,22851.75
2018-06-18,22680.33
2018-06-19,22278.48
2018-06-20,22555.43
2018-06-21,22693.04
2018-06-22,22516.83
2018-06-25,22338.15
2018-06-26,22342
2018-06-27,22271.77
2018-06-28,22270.39
2018-06-29,22304.51
2018-07-02,21811.93
2018-07-03,21785.54
2018-07-04,21717.04
2018-07-05,21546.99
2018-07-06,21788.14
2018-07-09,22052.18
2018-07-10,22196.89
2018-07-11,21932.21
2018-07-12,22187.96
2018-07-13,22597.35
2018-07-16,22597.35
2018-07-17,22697.36
2018-07-18,22794.19
2018-07-19,22764.68
2018-07-20,22697.88
2018-07-23,22396.99
2018-07-24,22510.48
2018-07-25,22614.25
2018-07-26,22586.87
2018-07-27,22712.75
2018-07-30,22544.84
2018-07-31,22553.72
2018-08-01,22746.7
2018-08-02,22512.53
2018-08-03,22525.18
2018-08-06,22507.32
2018-08-07,22662.74
2018-08-08,22644.31
2018-08-09,22598.39
2018-08-10,22298.08
2018-08-13,21857.43
2018-08-14,22356.08
2018-08-15,22204.22
2018-08-16,22192.04
2018-08-17,22270.38
2018-08-20,22199
2018-08-21,22219.73
2018-08-22,22362.55
2018-08-23,22410.82
2018-08-24,22601.77
2018-08-27,22799.64
2018-08-28,22813.47
2018-08-29,22848.22
2018-08-30,22869.5
2018-08-31,22865.15
2018-09-03,22707.38
2018-09-04,22696.9
2018-09-05,22580.83
2018-09-06,22487.94
2018-09-07,22307.06
2018-09-10,22373.09
2018-09-11,22664.69
2018-09-12,22604.61
2018-09-13,22821.32
2018-09-14,23094.67
2018-09-17,23094.67
2018-09-18,23420.54
2018-09-19,23672.52
2018-09-20,23674.93
2018-09-21,23869.93
2018-09-24,23869.93
2018-09-25,23940.26
2018-09-26,24033.79
2018-09-27,23796.74
2018-09-28,24120.04
2018-10-01,24245.76
2018-10-02,24270.62
2018-10-03,24110.96
2018-10-04,23975.62
2018-10-05,23783.72
2018-10-08,23783.72
2018-10-09,23469.39
2018-10-10,23506.04
2018-10-11,22590.86
2018-10-12,22694.66
2018-10-15,22271.3
2018-10-16,22549.24
2018-10-17,22841.12
2018-10-18,22658.16
2018-10-19,22532.08
2018-10-22,22614.82
2018-10-23,22010.78
2018-10-24,22091.18
2018-10-25,21268.73
2018-10-26,21184.6
2018-10-29,21149.8
2018-10-30,21457.29
2018-10-31,21920.46
2018-11-01,21687.65
2018-11-02,22243.66
2018-11-05,21898.99
2018-11-06,22147.75
2018-11-07,22085.8
2018-11-08,22486.92
2018-11-09,22250.25
2018-11-12,22269.88
2018-11-13,21810.52
2018-11-14,21846.48
2018-11-15,21803.62
2018-11-16,21680.34
2018-11-19,21821.16
2018-11-20,21583.12
2018-11-21,21507.54
2018-11-22,21646.55
2018-11-23,21646.55
2018-11-26,21812
2018-11-27,21952.4
2018-11-28,22177.02
2018-11-29,22262.6
2018-11-30,22351.06
2018-12-03,22574.76
2018-12-04,22036.05
2018-12-05,21919.33
2018-12-06,21501.62
2018-12-07,21678.68
2018-12-10,21219.5
2018-12-11,21148.02
2018-12-12,21602.75
2018-12-13,21816.19
2018-12-14,21374.83
2018-12-17,21506.88
2018-12-18,21115.45
2018-12-19,20987.92
2018-12-20,20392.58
2018-12-21,20166.19
2018-12-24,20166.19
2018-12-25,19155.74
2018-12-26,19327.06
2018-12-27,20077.62
2018-12-28,20014.77
2018-12-31,20014.77
2019-01-01,20014.77
2019-01-02,20014.77
2019-01-03,20014.77
2019-01-04,19561.96
2019-01-07,20038.97
2019-01-08,20204.04
2019-01-09,20427.06
2019-01-10,20163.8
2019-01-11,20359.7
2019-01-14,20359.7
2019-01-15,20555.29
2019-01-16,20442.75
2019-01-17,20402.27
2019-01-18,20666.07
2019-01-21,20719.33
2019-01-22,20622.91
2019-01-23,20593.72
2019-01-24,20574.63
2019-01-25,20773.56
2019-01-28,20649
2019-01-29,20664.64
2019-01-30,20556.54
2019-01-31,20773.49
2019-02-01,20788.39
2019-02-04,20883.77
2019-02-05,20844.45
2019-02-06,20874.06
2019-02-07,20751.28
2019-02-08,20333.17
2019-02-11,20333.17
2019-02-12,20864.21
2019-02-13,21144.48
2019-02-14,21139.71
2019-02-15,20900.63
2019-02-18,21281.85
2019-02-19,21302.65
2019-02-20,21431.49
2019-02-21,21464.23
2019-02-22,21425.51
2019-02-25,21528.23
2019-02-26,21449.39
2019-02-27,21556.51
2019-02-28,21385.16
2019-03-01,21602.69
2019-03-04,21822.04
2019-03-05,21726.28
2019-03-06,21596.81
2019-03-07,21456.01
2019-03-08,21025.56
2019-03-11,21125.09
2019-03-12,21503.69
2019-03-13,21290.24
2019-03-14,21287.02
2019-03-15,21450.85
2019-03-18,21584.5
2019-03-19,21566.85
2019-03-20,21608.92
2019-03-21,21608.92
2019-03-22,21627.34
2019-03-25,20977.11
2019-03-26,21428.39
2019-03-27,21378.73
2019-03-28,21033.76
2019-03-29,21205.81
2019-04-01,21509.03
2019-04-02,21505.31
2019-04-03,21713.21
2019-04-04,21724.95
2019-04-05,21807.5
2019-04-08,21761.65
2019-04-09,21802.59
2019-04-10,21687.57
2019-04-11,21711.38
2019-04-12,21870.56
2019-04-15,22169.11
2019-04-16,22221.66
2019-04-17,22277.97
2019-04-18,22090.12
2019-04-19,22200.56
2019-04-22,22217.9
2019-04-23,22259.74
2019-04-24,22200
2019-04-25,22307.58
2019-04-26,22258.73
2019-04-29,22258.73
2019-04-30,22258.73
2019-05-01,22258.73
2019-05-02,22258.73
2019-05-03,22258.73
2019-05-06,22258.73
2019-05-07,21923.72
2019-05-08,21602.59
2019-05-09,21402.13
2019-05-10,21344.92
2019-05-13,21191.28
2019-05-14,21067.23
2019-05-15,21188.56
2019-05-16,21062.98
2019-05-17,21250.09
2019-05-20,21301.73
2019-05-21,21272.45
2019-05-22,21283.37
2019-05-23,21151.14
2019-05-24,21117.22
2019-05-27,21182.58
2019-05-28,21260.14
2019-05-29,21003.37
2019-05-30,20942.53
2019-05-31,20601.19
2019-06-03,20410.88
2019-06-04,20408.54
2019-06-05,20776.1
2019-06-06,20774.04
2019-06-07,20884.71
2019-06-10,21134.42
2019-06-11,21204.28
2019-06-12,21129.72
2019-06-13,21032
2019-06-14,21116.89
2019-06-17,21124
2019-06-18,20972.71
2019-06-19,21333.87
2019-06-20,21462.86
2019-06-21,21258.64
2019-06-24,21285.99
2019-06-25,21193.81
2019-06-26,21086.59
2019-06-27,21338.17
2019-06-28,21275.92
2019-07-01,21729.97
2019-07-02,21754.27
2019-07-03,21638.16
2019-07-04,21702.45
2019-07-05,21746.38
2019-07-08,21534.35
2019-07-09,21565.15
2019-07-10,21533.48
2019-07-11,21643.53
2019-07-12,21685.9
2019-07-15,21685.9
2019-07-16,21535.25
2019-07-17,21469.18
2019-07-18,21046.24
2019-07-19,21466.99
2019-07-22,21416.79
2019-07-23,21620.88
2019-07-24,21709.57
2019-07-25,21756.55
2019-07-26,21658.15
2019-07-29,21616.8
2019-07-30,21709.31
2019-07-31,21521.53
2019-08-01,21540.99
2019-08-02,21087.16
2019-08-05,20720.29
2019-08-06,20585.31
2019-08-07,20516.56
2019-08-08,20593.35
2019-08-09,20684.82
2019-08-12,20684.82
2019-08-13,20455.44
2019-08-14,20655.13
2019-08-15,20405.65
2019-08-16,20418.81
2019-08-19,20563.16
2019-08-20,20677.22
2019-08-21,20618.57
2019-08-22,20628.01
2019-08-23,20710.91
2019-08-26,20261.04
2019-08-27,20456.08
2019-08-28,20479.42
2019-08-29,20460.93
2019-08-30,20704.37
2019-09-02,20620.19
2019-09-03,20625.16
2019-09-04,20649.14
2019-09-05,21085.94
2019-09-06,21199.57
2019-09-09,21318.42
2019-09-10,21392.1
2019-09-11,21597.76
2019-09-12,21759.61
2019-09-13,21988.29
2019-09-16,21988.29
2019-09-17,22001.32
2019-09-18,21960.71
2019-09-19,22044.45
2019-09-20,22079.09
2019-09-23,22079.09
2019-09-24,22098.84
2019-09-25,22020.15
2019-09-26,22048.24
2019-09-27,21878.9
2019-09-30,21755.84
2019-10-01,21885.24
2019-10-02,21778.61
2019-10-03,21341.74
2019-10-04,21410.2
2019-10-07,21375.25
2019-10-08,21587.78
2019-10-09,21456.38
